C0/date,C0/mean
2025-08-31 00:00:00+00:00,1.08684609917e-05
2025-09-30 00:00:00+00:00,9.54393053356716e-06
2025-10-31 00:00:00+00:00,1.2588235629346152e-05
2025-11-30 00:00:00+00:00,1.4155915441926315e-05
2025-12-31 00:00:00+00:00,1.6406804922389475e-05
2026-01-31 00:00:00+00:00,1.71510851906e-05
2026-02-28 00:00:00+00:00,1.6954047966e-05
2026-03-31 00:00:00+00:00,1.6099799243612e-05
2026-04-30 00:00:00+00:00,1.1086945318226242e-05
2026-05-31 00:00:00+00:00,1.3564627393190806e-05
2026-06-30 00:00:00+00:00,1.2983441155675e-05
2026-07-31 00:00:00+00:00,1.4357866041340626e-05
2026-08-31 00:00:00+00:00,1.0333110931716665e-05
